Study ID,Study,Citation,Year,Domain,System Type,Deployment Status,Venue Type,QA score,QA pass,ENV content,DES content,SOC content,Elicitation present,Specification present,Operationalization present,Validation/testing present,Monitoring present,Revision present,Spec explicitness/testability,Fairness notions,Failure modes,Gap summary (1 sentence)
P058,P058 - Mambreyan2022,Mambreyan2022,2022,Other,Classification,Prototype,Conference,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Explicit + testable,"Contextual/legal compliance, Error parity, Other","Governance absent, Other, Unstable subgroup definitions","Shows that headline deception-detection performance can be largely explained by dataset bias (especially sex imbalance) and weak evaluation practices on small datasets, and calls for bias-aware dataset design and sanity checks, but does not provide a deployment-ready fairness requirement with acceptance thresholds or monitoring/revision governance."
P059,P059 - Kesgin2025,Kesgin2025,2025,Other,Classification,Prototype,Journal,9,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Explicit + testable,"Error parity, Other, Outcome parity, Procedural fairness","Monitoring without triggers, No revision process/ownership, Other","Provides a reproducible education-domain pipeline that combines performance evaluation, SHAP/LIME interpretability, and DP/EO fairness auditing with adversarial debiasing (including socioeconomic and intersectional analyses), but remains an offline study without a concrete in-situ monitoring and governance process for deployed early-warning systems."
P060,P060 - Wang2022REVISE,Wang2022REVISE,2022,General,CV,Prototype,Journal,9,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Other, Procedural fairness","Other, Unstable subgroup definitions","Provides a pre-deployment, dataset-centric auditing tool that operationalizes many bias dimensions in visual datasets and suggests mitigation actions, but leaves normative judgments and governance of interventions to users and does not define monitoring/revision processes for deployed pipelines."
P061,P061 - Ghai2023DBIAS,Ghai2023DBIAS,2023,General,Decision support,Prototype,Journal,10,Pass,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Explicit + testable,"Error parity, Individual consistency, Other, Outcome parity, Procedural fairness","Missing context assumptions, Other, Unstable subgroup definitions","Provides an end-to-end HITL causal-model-based workflow to audit and mitigate bias in tabular datasets with explicit fairness/utility/distortion metrics and empirical/user-study evaluation, but does not define deployment-time monitoring or governance for how debiasing decisions should be managed over time."
P062,P062 - Qin2026Prune,qin2026prune,2026,General,Classification,Prototype,Journal,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Error parity, Individual consistency, Other, Outcome parity","Missing context assumptions, No thresholds / acceptance criteria, Other","Shows that pruning sensitive-attribute inputs in pre-trained DNNs is a practical post-processing method that tends to preserve accuracy and support individual-fairness enforcement, but yields inconsistent group-fairness improvements and lacks explicit acceptance thresholds or lifecycle governance for deployment-time monitoring and revision."
P063,P063 - Beutel2019PairwiseRecFair,Beutel2019PairwiseRecFair,2019,General,Ranking,Deployed,Conference,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Error parity, Other, Outcome parity","Missing context assumptions, No thresholds / acceptance criteria, Other","Operationalizes recommender ranking fairness with experimentally measurable pairwise metrics and a training-time regularizer that closes inter-group under-ranking gaps in production, but does not state explicit acceptance thresholds or provide lifecycle monitoring/revision governance beyond periodic experimental evaluation."
P064,P064 - Merchant2023GNNTradeoffs,Merchant2023GNNTradeoffs,2023,General,Classification,Prototype,Conference,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Error parity, Other, Outcome parity","Governance absent, No thresholds / acceptance criteria, Other","Provides explicit, testable fairness operationalization for GNN node classification (??SP/??EO) and shows mitigation tradeoffs via pre- and post-processing interventions, but it is evaluation/benchmarking-focused with no stakeholder elicitation, no explicit acceptance thresholds for deployment, and no monitoring/revision governance for long-term validity."
P065,P065 - Liu2023,Liu2023,2023,General,Classification,Conceptual,Conference,6.5,Pass,No,Yes,No,No,Yes,Yes,Yes,No,No,Explicit + testable,"Error parity, Other, Outcome parity","Drift not addressed, Governance absent, No revision process/ownership, No thresholds / acceptance criteria","Formally specifies and operationalizes structural (degree-based) fairness for GNN node classification via DSP/DEO and ??DSP/??DEO metrics with an in-processing debiasing architecture (DegFairGNN), but does not define acceptance thresholds or any monitoring/revision/governance process to sustain fairness over time."
P066,P066 - Zhang2023,Zhang2023,2023,General,Classification,Conceptual,Journal,4.5,Pass,No,Yes,No,No,Yes,Yes,Yes,No,No,Implicit,"Other, Outcome parity","Drift not addressed, Governance absent, No revision process/ownership, No thresholds / acceptance criteria, Other","Proposes an in-processing GNN mitigation (FPGNN) targeting sensitive-attribute leakage from high-degree nodes via fair-path random walks and adversarial learning, and reports offline experiments on three datasets, but the abstract does not provide explicit fairness requirement thresholds, acceptance criteria, or any monitoring/revision governance for fairness over time."
P067,P067 - CorbettDavies2023MeasureMismeasure,CorbettDavies2023MeasureMismeasure,2023,General,Decision support,Conceptual,Journal,9.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit not testable,"Contextual/legal compliance, Error parity, Other, Outcome parity","Governance absent, Missing context assumptions, No thresholds / acceptance criteria, Other","Critiques parity-based and attribute-effect fairness constraints as often producing Pareto-dominated policies and argues for policy-aligned, consequence-based design, but does not provide concrete operational acceptance thresholds or lifecycle monitoring/revision mechanisms for maintaining fairness requirements over time."
P068,P068 - Jung2024CounterfactuallyFairImages,Jung2024CounterfactuallyFairImages,2024,General,CV,Prototype,Conference,10,Pass,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Explicit + testable,"Error parity, Individual consistency, Other","Drift not addressed, Governance absent, No thresholds / acceptance criteria, Other","Provides strong dataset+metric operationalization and evidence that CF does not imply EO-based group fairness in image settings (due to latent shortcut attribute G), but does not define acceptance thresholds, monitoring signals, or revision/governance mechanisms for maintaining fairness over time in deployment."
P069,P069 - Luo2024FairCLIP,Luo2024FairCLIP,2024,Healthcare,Multi-task/Other,Prototype,Conference,9,Pass,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Explicit + testable,"Error parity, Other, Outcome parity","Drift not addressed, Governance absent, No revision process/ownership, No thresholds / acceptance criteria","Provides a fairness-oriented multimodal clinical dataset and an OT-based in-training mitigation (FairCLIP) with clear group metrics, but does not specify deployment-time acceptance thresholds, monitoring signals, or revision governance for sustaining fairness in clinical use."
P070,P070 - Rateike2024LongTermPolicies,Rateike2024LongTermPolicies,2024,Lending,Decision support,Conceptual,Conference,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Error parity, Other, Outcome parity","Drift not addressed, Governance absent, No revision process/ownership","Provides a formal, testable long-term fairness specification and policy optimization framework for dynamical decision systems with explicit ??-level constraints, but does not address deployment-time monitoring, drift handling, or governance/ownership for revising fairness targets and policies in practice."
P071,P071 - Blandin2024FairIRL,Blandin2024FairIRL,2024,General,Classification,Prototype,Conference,10,Pass,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Explicit + testable,"Error parity, Other, Outcome parity","Drift not addressed, Governance absent, No revision process/ownership","Provides an explicit, testable operationalization of ?€?fairness preferences?€? via learned reward weights and demonstrates cross-domain transfer under covariate shift, but does not specify deployment-time monitoring, acceptance thresholds for release, or governance for revising fairness preferences over time."
P072,P072 - Han2024SFairGNN,Han2024SFairGNN,2024,General,Classification,Prototype,Journal,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Other, Procedural fairness","Drift not addressed, Governance absent, No revision process/ownership, No thresholds / acceptance criteria","Introduces measurable ?€?structure fairness?€? for GNNs and a mitigation (SFairGNN) with strong offline evaluation, but lacks explicit acceptance thresholds and does not address deployment-time monitoring or revision governance as graph structures and populations evolve."
P073,P073 - Li2025PAMI (SFairGNN / structure fairness),Li2025PAMI,2025,General,Classification,Prototype,Journal,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Other, Procedural fairness","Drift not addressed, Governance absent, No revision process/ownership, No thresholds / acceptance criteria","Provides a measurable definition of structure fairness for GNNs (via PCC/STD over centrality) and an effective mitigation (SFairGNN) with extensive offline evaluation, but lacks explicit acceptance thresholds and does not address deployment-time monitoring or requirements revision/governance as graph structure and populations change."
P074,P074 - Pham2025 (FAIREDU),Pham2025FAIREDU,2025,Other,Classification,Prototype,Journal,8,Pass,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Explicit not testable,Outcome parity,"Drift not addressed, Governance absent, No revision process/ownership, No thresholds / acceptance criteria","Provides an offline fairness-mitigation method (FAIREDU) for educational ML that improves group disparity metrics across multiple sensitive features while preserving performance, but does not specify explicit acceptance thresholds or any deployment-time monitoring and revision governance."
P075,P075 - Abbas2025 (SME lending; mixed-methods),Abbas2025LendingByAlgorithm,2025,Lending,Classification,Prototype,Journal,8,Pass,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Explicit not testable,"Error parity, Other, Outcome parity, Procedural fairness","Drift not addressed, Governance absent, No revision process/ownership, No thresholds / acceptance criteria, Unstable subgroup definitions","Combines offline credit-model fairness diagnostics with stakeholder interviews to surface misalignment between statistical and experiential fairness in SME lending, but does not specify measurable acceptance thresholds or any deployment-time monitoring and revision governance for fairness over time."
P076,P076 - Holstein2019,Holstein2019,2019,General,Multi-task/Other,Deployed,Conference,8.5,Pass,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Implicit,"Contestability/recourse, Error parity, Other, Outcome parity, Procedural fairness","Missing context assumptions, Monitoring without triggers, No revision process/ownership, No thresholds / acceptance criteria, Other","Empirically elicits industry practitioners?€? challenges/needs for fair ML across the development pipeline (data collection, auditing, debugging, human-in-the-loop biases), highlighting major socio-technical gaps and the absence of standardized, measurable acceptance criteria and revision governance for maintaining fairness requirements over time."
P077,P077 - Madaio2020,Madaio2020,2020,General,Multi-task/Other,Deployed,Conference,8.5,Pass,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Explicit not testable,"Contestability/recourse, Other, Procedural fairness","Monitoring without triggers, No revision process/ownership, No thresholds / acceptance criteria, Other","Co-designs a lifecycle-structured AI fairness checklist with practitioners and surfaces organizational and sociocultural barriers, but does not operationalize fairness into measurable metrics/thresholds or specify monitoring triggers and revision governance for maintaining fairness requirements over time."
P078,P078 - Zhang2020,Zhang2020,2020,General,Classification,Prototype,Conference,8,Pass,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Explicit + testable,"Individual consistency, Other","Drift not addressed, Governance absent, No revision process/ownership, No thresholds / acceptance criteria, Other","Proposes a scalable white-box fairness testing method (ADF) to generate many individual discriminatory instances for DNNs and show retraining reduces measured individual discrimination, but provides no acceptance thresholds, stakeholder elicitation, or deployment-time monitoring and revision governance to maintain fairness requirements over time."
P079,P079 - Sharma2019,Sharma2019,2019,General,Classification,Prototype,Conference,8,Pass,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Explicit + testable,"Other, Procedural fairness","Drift not addressed, Governance absent, No revision process/ownership, No thresholds / acceptance criteria, Other","Introduces a formal, testable fairness-like requirement for the learning phase?€?balanced data usage?€?operationalized via metamorphic relations and model-equivalence checking across training-data transformations, but does not connect to protected-group fairness metrics, acceptance thresholds, or lifecycle monitoring and revision governance."
P080,P080 - Aggarwal2019,Aggarwal2019,2019,General,Classification,Prototype,Conference,8.5,Pass,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Explicit + testable,,"Governance absent, No thresholds / acceptance criteria","Strong test-generation/validation for individual discrimination in black-box models, but no stakeholder elicitation, no acceptance thresholds, and no monitoring/revision governance."
P081,P081 - Bellamy2019,Bellamy2019,2019,General,Classification,Prototype,Preprint,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit not testable,,"Governance absent, No thresholds / acceptance criteria","Comprehensive fairness metrics+mitigation toolkit and pipeline abstractions, but it does not define domain-specific acceptance thresholds/decision rules and provides limited guidance on governance, monitoring, or revision in deployment."
P082,P082 - Black2020FlipTest,Black2020FlipTest,2020,General,Classification,Prototype,Conference,8.5,Pass,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Explicit + testable,,"Governance absent, No thresholds / acceptance criteria","Strong black-box individual/subgroup discrimination testing and diagnostic reporting, but does not define deployment acceptance thresholds, monitoring signals, or a revision/ownership process."
P083,P083 - Li2025TOSEM,Li2025TOSEM,2025,Other,CV,Prototype,Journal,9,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,,"Monitoring without triggers, No revision process/ownership, No thresholds / acceptance criteria","Thorough empirical group-fairness testing for pedestrian detection with rich demographic/scenario labeling, but lacks explicit deployment acceptance criteria, monitoring, and revision governance for operational use."
P084,P084 - Brun2018,Brun2018,2018,General,Multi-task/Other,,Conference,7,Pass,No,No,Yes,Yes,Yes,No,Yes,No,No,Implicit,"Individual consistency, Other, Outcome parity",,Vision/call-to-action: fairness as a first-class software property; highlights RE/design/testing/verification challenges but provides no concrete operationalization or acceptance criteria.
P085,P085 - Cleary1966,Cleary1966,1966,General,Decision support,Deployed,Report/Standard,6.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Other, Outcome parity, Procedural fairness","Drift not addressed, No revision process/ownership, Other","Operationalizes fairness as predictive test bias (systematic subgroup prediction error) and evaluates it empirically across colleges, but does not address ongoing monitoring or adaptation of fairness criteria over time."
P086,P086 - Sunstein1994,Sunstein1994,1994,General,Multi-task/Other,,Journal,6.5,Pass,Yes,No,Yes,No,Yes,No,No,No,No,Explicit not testable,"Contextual/legal compliance, Other",,"Normative legal theory of equality-as-anticaste (linking liberty and equality) with empirical illustrations; no operationalized fairness metrics, decision thresholds, or implementation process artifacts."
P087,P087 - Anderson1999,Anderson1999,1999,General,Multi-task/Other,,Journal,6.5,Pass,Yes,No,Yes,No,Yes,No,No,No,No,Explicit not testable,"Contestability/recourse, Contextual/legal compliance, Other, Procedural fairness",,"Develops ""democratic equality"" as an anti-oppression ideal and critiques luck egalitarian compensation schemes, but does not operationalize fairness requirements into testable metrics or acceptance criteria."
P088,P088 - Bertrand2004,Bertrand2004,2004,Hiring,Classification,,Journal,9,Pass,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Explicit not testable,"Other, Outcome parity, Procedural fairness",,"Provides strong empirical evidence of hiring discrimination via name signaling and unequal returns to credentials, but does not propose a fairness requirement specification with explicit thresholds, acceptance criteria, monitoring, or revision processes."
P089,P089 - PerryZarsky2014,PerryZarsky2014,2015,General,Multi-task/Other,,Journal,7.5,Pass,Yes,No,Yes,No,Yes,No,No,No,No,Explicit not testable,"Contextual/legal compliance, Other, Procedural fairness",,"Comprehensive normative framework for when lotteries are fair/efficient in legal allocation, but does not operationalize fairness into measurable system requirements, metrics, or monitoring/revision processes."
P090,P090 - Fishkin2014,Fishkin2014,2014,General,Multi-task/Other,,Journal,6.5,Pass,Yes,No,Yes,No,Yes,No,No,No,No,Explicit not testable,"Other, Procedural fairness",,"Conceptual theory of equal opportunity framed as reducing societal bottlenecks and expanding pluralistic pathways, but not operationalized into measurable requirements, metrics, acceptance criteria, or governance processes."
P091,P091 - MetcalfMoss2019,MetcalfMoss2019,2019,General,Multi-task/Other,Conceptual,Journal,7.5,Pass,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Implicit,"Other, Procedural fairness","Governance absent, No thresholds / acceptance criteria, Other","Provides a qualitative account of how ?€?ethics owners?€? institutionalize ethics inside tech firms and shows how corporate logics (meritocracy, technological solutionism, market fundamentalism) can turn ethics into performative checklists and risk-management, but it does not specify testable fairness requirements, metrics, thresholds, monitoring signals, or revision governance."
P092,P092 - PrinceSchwarcz2020,"Prince, Anya E.R., and Daniel Schwarcz. ""Proxy Discrimination in the Age of Artificial Intelligence and Big Data."" Iowa Law Review 105 (2020): 1257?€?1318. https://scholarship.law.umn.edu/faculty_articles/682",2020,General,,,Journal,8,Pass,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Explicit not testable,"Contextual/legal compliance, Other, Procedural fairness","Governance absent, Missing context assumptions, Monitoring without triggers, No revision process/ownership, No thresholds / acceptance criteria, Other","Clarifies proxy discrimination as distinct from general disparate impact and argues AI systems will inevitably seek proxies for directly predictive protected traits, motivating policy/technical strategies (data collection, transparency, approved-factor rules, and de-proxying models) but without specifying implementable lifecycle monitoring/revision mechanisms."
P093,P093 - Hellman2020,"Hellman, Deborah. ""Measuring Algorithmic Fairness."" Virginia Law Review 106, no. 4 (June 2020): 811?€?866. https://www.jstor.org/stable/10.2307/27074708",2020,General,,,Journal,9,Pass,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Explicit not testable,,"Governance absent, Missing context assumptions, Monitoring without triggers, No revision process/ownership, No thresholds / acceptance criteria, Other","Provides a clear conceptual, normative, and legal argument for prioritizing error-ratio concerns over calibration as a fairness signal and for permissibility of using protected traits to improve accuracy, but does not provide operational RE artifacts (elicitation, testable acceptance criteria, monitoring signals, or revision governance) to turn these fairness ideas into lifecycle requirements."
P094,P094 - Bietti2020FAccT,"Bietti, Elettra. ""From Ethics Washing to Ethics Bashing: A View on Tech Ethics from Within Moral Philosophy."" In Proceedings of the 2020 Conference on Fairness, Accountability, and Transparency (FAT\ '20)*, 210?€?219. Barcelona, Spain, Jan 27?€?30, 2020. ACM. https://doi.org/10.1145/3351095.3372860",2020,General,,,Conference,8,Pass,Yes,Yes,Yes,No,Yes,No,No,No,No,Implicit,,"Governance absent, Missing context assumptions, Monitoring without triggers, No revision process/ownership, No thresholds / acceptance criteria, Other","Provides a strong conceptual and normative governance critique of tech-ethics rhetoric (ethics washing vs ethics bashing) and defends moral philosophy as inquiry, but offers no operational RE artifacts (elicitation outputs, measurable acceptance criteria, monitoring signals, or revision ownership) for implementing governance over time."
P095,P095 - Biswas2023ICSE,"Biswas, Sumon, and Hridesh Rajan. ""Fairify: Fairness Verification of Neural Networks."" In 2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE), 1546?€?1558. 2023. https://doi.org/10.1109/ICSE48619.2023.00134",2023,General,Classification,Prototype,Conference,9.5,Pass,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Explicit + testable,,"Governance absent, Monitoring without triggers, No revision process/ownership, No thresholds / acceptance criteria, Other","Provides an explicit, testable specification and SMT-based certification/counterexample workflow for individual fairness (including relaxations and targeted queries) on already-trained ReLU neural networks, but does not define real-world acceptance criteria beyond time budgets nor provide monitoring/revision governance for maintaining fairness post-deployment."
P096,P096 - Chakraborty2020Fairway,"Chakraborty, Joymallya, Suvodeep Majumder, Zhe Yu, and Tim Menzies. ""Fairway: A Way to Build Fair ML Software."" In Proceedings of the 28th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering (ESEC/FSE '20), 654?€?665. Virtual Event, USA, Nov 8?€?13, 2020. ACM. https://doi.org/10.1145/3368089.3409697",2020,General,Classification,Prototype,Conference,9,Pass,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Explicit + testable,"Error parity, Other, Outcome parity","Drift not addressed, Governance absent, Monitoring without triggers, No revision process/ownership, No thresholds / acceptance criteria, Other","Provides a concrete, implementable pipeline for bias detection (training-data ambiguity via group-conditioned models + situation testing) and mitigation (multi-objective hyperparameter optimization) with explicit group-fairness metrics, but does not specify deployment-time monitoring, drift handling, or clear acceptance thresholds/decision rules for when a model is ?€?fair enough.?€?"
P097,P097 - Kawamoto2020,"Kawamoto, Yusuke. ""Towards Logical Specification of Statistical Machine Learning."" arXiv:1907.10327v2 [cs.LO] (28 Mar 2020).",2020,General,Classification,Conceptual,Preprint,8,Pass,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Explicit + testable,,"Governance absent, Monitoring without triggers, No revision process/ownership, No thresholds / acceptance criteria, Other","Introduces a rigorous logical specification framework (StatEL + distributional Kripke models + counterfactual epistemic operators) for performance, robustness, and fairness properties of classifiers, but does not provide empirical validation or scalable checking/model-checking procedures nor any deployment-time monitoring/revision governance."
P098,P098 - Li2024RUNNER,"Li, Tianlin, Yue Cao, Jian Zhang, Shiqian Zhao, Yihao Huang, Aishan Liu, Qing Guo, and Yang Liu. ""RUNNER: Responsible UNfair NEuron Repair for Enhancing Deep Neural Network Fairness."" In Proceedings of the 46th IEEE/ACM International Conference on Software Engineering (ICSE ?€?24), April 14?€?20, 2024, Lisbon, Portugal. ACM, 13 pages. https://doi.org/10.1145/3597503.3623334",2024,General,Classification,Prototype,Conference,9,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Error parity, Other, Outcome parity","Drift not addressed, Governance absent, Monitoring without triggers, No revision process/ownership, No thresholds / acceptance criteria, Other, Unstable subgroup definitions","Provides an efficient, interpretable diagnosis+repair loop for improving group fairness in DNNs (neuron-importance localization + activation-stabilizing retraining) validated on tabular and image datasets, but does not define acceptance thresholds/decision rules for ?€?fair enough?€? nor any post-deployment monitoring and revision governance."
P099,P099 - Monjezi2023,"Monjezi, Verya, Gang Tan, Ashutosh Trivedi, and Saeid Tizpaz-Niari. ""Information-Theoretic Testing and Debugging of Fairness Defects in Deep Neural Networks."" In 2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE). IEEE/ACM, 2023. https://doi.org/10.1109/ICSE48619.2023.00136",2023,General,Decision support,Prototype,Conference,9,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Error parity, Individual consistency, Other, Outcome parity","Drift not addressed, Governance absent, Monitoring without triggers, No revision process/ownership, No thresholds / acceptance criteria, Other, Unstable subgroup definitions","Introduces an information-theoretic, testable severity measure for individual fairness defects (QID in bits) and couples it with search-based test generation and causal neuron/layer localization to guide mitigation, but does not provide stakeholder-grounded acceptance thresholds or any deployment-time monitoring and revision governance for maintaining fairness under drift."
P100,P100 - Zheng2022NeuronFair,Zheng2022NeuronFair,2022,General,Classification,Prototype,Conference,7.5,Pass,No,Yes,No,No,Yes,Yes,Yes,No,No,Explicit + testable,"Individual consistency, Other","Drift not addressed, No revision process/ownership, No thresholds / acceptance criteria, Other","NeuronFair operationalizes fairness as individual discrimination (IDIs) and proposes an interpretable white-box testing pipeline (ActDiff/AS curve/AUC, biased-neuron-guided generation) validated on multiple datasets, but does not provide lifecycle monitoring or revision mechanisms beyond pre-deployment testing."
P101,P101 - Raji2022,"Raji, Inioluwa Deborah, I. Elizabeth Kumar, Aaron Horowitz, and Andrew D. Selbst. ?€?The Fallacy of AI Functionality.?€? In Proceedings of the 2022 ACM Conference on Fairness, Accountability, and Transparency (FAccT ?€?22), June 21?€?24, 2022, Seoul, Republic of Korea. ACM. https://doi.org/10.1145/3531146.3533158",2022,General,Unknown,Conceptual,Conference,8,Pass,Yes,Yes,Yes,No,Yes,No,No,No,No,Explicit not testable,"Contestability/recourse, Contextual/legal compliance, Other, Procedural fairness",Other,"Provides a cross-domain taxonomy of AI ?€?dysfunction?€? and argues that basic functional performance should be treated as a first-order accountability requirement, but does not operationalize this into testable requirements, metrics/thresholds, or concrete lifecycle monitoring/revision procedures."
P102,P102 - Sharma2020,"Sharma, Arnab, and Heike Wehrheim. ?€?Automatic Fairness Testing of Machine Learning Models.?€? In Testing Software and Systems (ICTSS 2020), 32nd IFIP International Conference on Testing Software and Systems, Naples, Italy, Dec 2020, pp. 255?€?271. Springer. https://doi.org/10.1007/978-3-030-64881-7_16. HAL: hal-03239825 (submitted 27 May 2021): https://inria.hal.science/hal-03239825v1",2020,General,Classification,Prototype,Conference,8,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Individual consistency, Other, Outcome parity","Drift not addressed, No revision process/ownership, No thresholds / acceptance criteria, Other","Introduces a formal, testable fairness-specification language and a verification-based testing (SMT/Z3) method that finds discriminatory counterexample pairs more effectively than prior black-box fairness testers on standard tabular benchmarks, but does not provide deployment-time monitoring/revision or clear acceptance criteria for declaring a model sufficiently fair."
P103,P103 - Pager2008,"Pager, Devah, and Hana Shepherd. ?€?The Sociology of Discrimination: Racial Discrimination in Employment, Housing, Credit, and Consumer Markets.?€? Annual Review of Sociology 34 (2008): 181?€?209. First published online March 17, 2008. https://doi.org/10.1146/annurev.soc.33.040406.131740",2008,General,Unknown,Conceptual,Journal,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Explicit not testable,"Contextual/legal compliance, Other, Procedural fairness",Other,"Provides a cross-domain synthesis of how racial discrimination is defined, measured (including differential treatment vs disparate impact), and explained via individual/organizational/structural mechanisms, but does not operationalize this into system-level fairness requirements, metrics/thresholds, or lifecycle governance practices."
P104,P104 - Chen2025TNNLS,"Chen, Huiqiang, Tianqing Zhu, Wanlei Zhou, and Wei Zhao. ?€?AFed: Algorithmic Fair Federated Learning.?€? IEEE Transactions on Neural Networks and Learning Systems 36, no. 8 (Aug 2025). DOI: https://doi.org/10.1109/TNNLS.2025.3528012.",2025,General,Classification,Prototype,Journal,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Other, Outcome parity","Drift not addressed, No revision process/ownership, No thresholds / acceptance criteria, Other","Proposes AFed-G/AFed-GAN, a practical FL framework to improve demographic-parity group fairness under non-i.i.d. client data by learning a global latent distribution via conditional generative models and using generated-sample mixup regularization, but does not specify deployment-time monitoring/revision or concrete acceptance thresholds for deciding when fairness is sufficient."
P105,P105 - Buolamwini2018,"Buolamwini, Joy, and Timnit Gebru. ?€?Gender Shades: Intersectional Accuracy Disparities in Commercial Gender Classification.?€? In Proceedings of Machine Learning Research, vol. 81, Conference on Fairness, Accountability, and Transparency (FAT*), 2018, pp. 1?€?15. (PPB dataset: http://gendershades.org/)",2018,General,CV,Deployed,Conference,9,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Contestability/recourse, Other, Outcome parity, Procedural fairness",Other,"Demonstrates large intersectional performance disparities in commercial gender classification and shows that benchmark composition hides these gaps, motivating fairness requirements for disaggregated evaluation and representative datasets, but it does not propose deployment monitoring/revision or quantitative acceptance thresholds for when performance is ?€?fair enough?€?."
P106,P106 - Borkan2019WWW,"Borkan, Daniel, Lucas Dixon, Jeffrey Sorensen, Nithum Thain, and Lucy Vasserman. ?€?Nuanced Metrics for Measuring Unintended Bias with Real Data for Text Classification.?€? In Companion Proceedings of the 2019 World Wide Web Conference (WWW ?€?19 Companion), May 13?€?17, 2019, San Francisco, CA, USA. ACM, 10 pages. https://doi.org/10.1145/3308560.3317593",2019,General,NLP,Deployed,Conference,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Error parity, Other, Outcome parity","No thresholds / acceptance criteria, Other","Introduces a robust, threshold-agnostic metric suite and a large identity-labeled real-comment test set for diagnosing unintended identity bias in toxicity classifiers via score-distribution analysis, but leaves acceptance thresholds and deployment-time monitoring/revision processes unspecified."
P107,P107 - Calmon2017NeurIPS,"Calmon, Flavio P., Dennis Wei, Bhanukiran Vinzamuri, Karthikeyan Natesan Ramamurthy, and Kush R. Varshney. ""Optimized Pre-Processing for Discrimination Prevention."" In Advances in Neural Information Processing Systems (NeurIPS), 2017.",2017,Policing,Classification,,Conference,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,,"Governance absent, No thresholds / acceptance criteria, Other","Provides a rigorous, testable optimization framework for pre-processing to reduce group discrimination with individual distortion and utility constraints, but does not address stakeholder elicitation, deployment-time monitoring, or governance/revision processes beyond offline evaluation trade-offs."
